season,player_id,team_id,gp,min,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct
2025-26,203468,1610612764,32,990.336666666667,594.0,109.0,116.0,23.0,9.0,51.0,0.442,0.382,0.798
2025-26,1631132,1610612763,7,99.3483333333333,10.0,19.0,5.0,6.0,6.0,0.0,0.455,0.0,0.0
2025-26,1630557,1610612764,18,351.445,161.0,43.0,32.0,8.0,3.0,11.0,0.495,0.394,0.742
2025-26,1630526,1610612754,17,299.566666666667,79.0,88.0,12.0,7.0,1.0,10.0,0.349,0.242,0.929
2025-26,1629027,1610612737,10,280.103333333333,193.0,15.0,89.0,10.0,1.0,26.0,0.415,0.305,0.863
2023-24,1628391,1610612755,2,15.4666666666667,10.0,2.0,2.0,0.0,2.0,0.0,0.667,1.0,0.0
2023-24,1630196,1610612758,3,9.31,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
2023-24,1631298,1610612763,4,63.6483333333333,6.0,12.0,1.0,4.0,1.0,2.0,0.125,0.2,0.0
2023-24,1629669,1610612765,13,213.763333333333,81.0,24.0,19.0,4.0,2.0,7.0,0.436,0.207,0.778
2023-24,1629007,1610612761,26,359.738333333333,115.0,82.0,60.0,20.0,20.0,21.0,0.385,0.333,0.833
2023-24,1628995,1610612765,31,560.233333333333,223.0,75.0,23.0,13.0,7.0,22.0,0.462,0.33,0.909
2023-24,1629117,1610612763,5,81.0166666666667,17.0,25.0,3.0,2.0,2.0,8.0,0.364,0.167,0.0
2023-24,1630285,1610612763,7,161.383333333333,42.0,20.0,25.0,7.0,3.0,10.0,0.315,0.294,0.75
2025-26,1642358,1610612764,23,163.003333333333,39.0,26.0,14.0,5.0,0.0,11.0,0.258,0.211,0.75
2025-26,1629599,1610612749,24,188.161666666667,49.0,19.0,8.0,2.0,2.0,4.0,0.432,0.235,0.929
2025-26,1629014,1610612738,41,993.688333333333,578.0,97.0,103.0,18.0,5.0,45.0,0.442,0.407,0.892
